OBJECT_ID,Death_Rate,RF_Rate
1,0,0.000780265
2,0,0.000761306
3,0.000577534,0.001236499
4,0,0.000661087
5,0,0.000624463
6,0.000786988,0.000432147
7,0.001939685,0.00037983
8,0,0.000468249
9,0,0.000354294
10,0.000707868,0.000727649
11,0,0.000389517
12,0.004698847,0.001228488
13,0.00177305,0.000556896
14,0.000269493,0.000521749
15,0,0.000747861
16,0.000252398,0.000372557
17,0,0.000350028
18,0,0.001417927
19,0.0003335,0.000521992
20,0.000602531,0.000678563
21,0,0.000495756
22,0.000297177,0.000954742
23,0.001928211,0.001170065
24,0.003802281,0.00107211
25,0.00064041,0.001217251
26,0.000394747,0.001338841
27,0,0.000366463
28,0.000362976,0.001305595
29,0,0.000644907
30,0.001406876,0.000986986
31,0.000113225,0.000531432
32,0.001466993,0.001501653
33,0,0.000497827
34,0.000655093,0.001448813
35,0.000227998,0.0006879
36,0.000918274,0.000881144
37,0,0.000503503
38,0,0.000334091
39,0.000813118,0.00081975
40,0.001314924,0.000759391
41,0.000949462,0.001561823
42,0,0.000627448
43,0,0.00051243
44,0,0.000303606
45,0.000209161,0.001082505
46,0.000308012,0.000813382
47,0.00013708,0.001145249
48,0,0.000627236
49,0,0.000661282
50,0,0.000405766
51,0,0.000588892
53,0.000425791,0.000609496
54,0.003761574,0.000703181
55,0,0.000657719
57,0.001144165,0.000858993
58,0.000115929,0.000878606
60,0.000238644,0.000452663
61,0.000241838,0.000915874
62,0,0.000269647
63,0,0.000446315
64,0,0.000368195
65,0.000326184,0.000792144
66,0,0.000430077
67,0.000353072,0.001188541
68,0.001245847,0.001156622
69,0.000671592,0.000859754
70,0.000340716,0.000655456
72,0.000775494,0.001158603
73,7.70E-05,0.00038732
75,0,0.000612501
76,0.000804658,0.000502048
77,0,0.000737289
78,0.001060445,0.000572428
79,0.000901388,0.000794375
80,0.000568182,0.000771634
81,0.000373762,0.000347301
82,0.00031875,0.000793239
84,0.00013386,0.000454486
85,0.000442674,0.000770723
86,0.000836243,0.00095525
87,0.000287301,0.000634285
88,0.001459079,0.00076604
89,0.001016673,0.000884157
90,0.000510465,0.000561485
91,9.53E-05,0.000887336
92,0.000483431,0.001130557
93,0.000334896,0.000638081
95,0.000635104,0.000851046
96,0.000286903,0.000821502
97,0.000156348,0.000322666
98,0.001012146,0.000925321
99,0.000168805,0.000584
100,0,0.000796831
101,0.000910447,0.000882523
102,0.000620989,0.000414075
103,0.001216915,0.000805646
104,0.000183554,0.000723424
105,0.000677507,0.000801417
106,0.000360274,0.000837256
107,0.000234082,0.000740211
108,0.002955859,0.001011783
109,0,0.000690701
110,0.000701878,0.000803112
111,0.000583856,0.000430887
112,0.000693241,0.001136044
113,0.001351808,0.000551885
115,0.000851104,0.00072522
116,0.000595593,0.000594099
117,0,0.000852527
118,0.000479731,0.000698181
119,0.000399255,0.000731011
120,0.000436491,0.000510503
121,0,0.000554889
122,0.00046184,0.000651057
123,0.000355619,0.000837679
124,0.00025227,0.000760476
