OBJECT_ID,Death_Rate,XGBOOST_Rate
1,0.0,0.00040775642
2,0.0,0.00048884493
3,0.0005775339301183945,0.0011275401
4,0.0,0.0003411599
5,0.0,0.00018933187
6,0.0007869884575026233,0.00052370504
7,0.001939685032097169,0.00095722533
8,0.0,0.00024502038
9,0.0,0.00023106294
10,0.0007078682276068608,0.0005749529
11,0.0,0.00026586934
12,0.004698846646732166,0.0035274928
13,0.0017730496453900709,0.001317046
14,0.00026949335249730504,0.00053490116
15,0.0,0.00049839664
16,0.0002523977788995457,0.00028635364
17,0.0,0.00022502721
18,0.0,0.00090257375
19,0.00033350008337502084,0.00042803204
20,0.0006025306286402892,0.00059065566
21,0.0,0.0004368573
22,0.00029717682020802375,0.0007527877
23,0.001928211213289825,0.0016990186
24,0.0038022813688212928,0.0022900235
25,0.0006404098623118795,0.00087443984
26,0.00039474723019026814,0.00080090784
27,0.0,0.00019844997
28,0.0003629764065335753,0.00081780396
29,0.0,0.00030858483
30,0.0014068756538364417,0.0010280029
31,0.00011322463768115942,0.0004533174
32,0.001466992665036675,0.0013324943
33,0.0,0.00039398397
34,0.0006550933508024893,0.0013449613
35,0.00022799817601459188,0.00069039746
36,0.0009182736455463728,0.0008116327
37,0.0,0.00037057567
38,0.0,0.00025982433
39,0.0008131183087139179,0.00077538606
40,0.0013149243918474688,0.0009791466
41,0.0009494619715494553,0.00145634
42,0.0,0.00039399526
43,0.0,0.0004005647
44,0.0,0.00019737377
45,0.00020916126333403055,0.0008436731
46,0.000308012166480576,0.00074006733
47,0.00013708019191226866,0.0006475468
48,0.0,0.0004305161
49,0.0,0.00051470165
50,0.0,0.00027497424
51,0.0,0.00039611972
53,0.00042579075425790754,0.000745637
54,0.003761574074074074,0.0017344058
55,0.0,0.000522396
57,0.0011441647597254005,0.0013062765
58,0.00011592858798979828,0.00058495905
60,0.00023864449924429243,0.00036383152
61,0.0002418379685610641,0.00095746596
62,0.0,0.00023106294
63,0.0,0.0003649123
64,0.0,0.0004030831
65,0.0003261844573106092,0.0006688764
66,0.0,0.00039012625
67,0.00035307172399878946,0.0007429612
68,0.0012458471760797341,0.0009408474
69,0.000671591672263264,0.0007879828
70,0.00034071550255536625,0.0005323223
72,0.0007754943776657619,0.00079515233
73,7.695267410542516e-05,0.00028499606
75,0.0,0.00035276773
76,0.0008046575472144649,0.0009279348
77,0.0,0.0005146458
78,0.0010604453870625664,0.0008188511
79,0.0009013881377321074,0.0007290996
80,0.0005681818181818182,0.0007941275
81,0.00037376191366099795,0.0003060085
82,0.0003187504980476532,0.00058129075
84,0.00013385984873837093,0.00034488205
85,0.0004426737494466578,0.0005061802
86,0.0008362427612735977,0.0009818408
87,0.0002873012832790653,0.00057304406
88,0.001459079453508423,0.00091719336
89,0.0010166734444896298,0.0009950697
90,0.0005104645227156713,0.00062031054
91,9.534706331045004e-05,0.0005791462
92,0.00048343148457414084,0.0011293722
93,0.0003348961821835231,0.00043733648
95,0.0006351039260969977,0.00086368306
96,0.00028690288337397793,0.0007360808
97,0.00015634771732332708,0.00030114502
98,0.0010121457489878543,0.0009605903
99,0.00016880486158001352,0.0005121862
100,0.0,0.0005681868
101,0.0009104465897496271,0.00076038815
102,0.000620989443179466,0.00036063732
103,0.001216915120170368,0.0009965006
104,0.00018355359765051394,0.0006633646
105,0.0006775067750677507,0.0007921139
106,0.00036027380809415153,0.00081638165
107,0.00023408239700374532,0.00061300426
