OBJECT_ID,NO2_ShapEffect,Resp_Risk_ShapEffect,NPL_Prox_ShapEffect,Traffic_Prox_ShapEffect,Noise_Level_ShapEffect,SVI_Overall_ShapEffect
1,0.0009389660106130826,0.0010332059855288633,0.0010343648038771678,0.0010636012963757483,0.0010878079590892625,0.0011940607543570571
2,0.0008491450885705159,0.000918165796879728,0.000908143396840457,0.0010591034614142916,0.0010765212591744493,0.00122646721762733
3,0.0007961113895791739,0.000856412455857227,0.0009711730902994623,0.0009470461628209257,0.0010902425671210254,0.0012439684622390262
4,0.0008512129565397591,0.0009595268415310095,0.0008882084252305797,0.0010786810021118781,0.001083198673523264,0.0010700737583552963
5,0.000950749894175992,0.0009673687698170902,0.0010387705318849123,0.0010652750335176234,0.001028045433212589,0.0014678118149650272
6,0.0009057502688204913,0.0009292311511034795,0.0009652078421223238,0.0010817744357176514,0.0011296827314732493,0.0013147576765885343
7,0.0009339645148793672,0.0010830219411171503,0.0010316960648911128,0.0010659931141771177,0.001130981852266239,0.001317929258361579
8,0.0009462576427499367,0.0009291624330483089,0.0010004281806390374,0.0010903468470030285,0.0011029534257586734,0.0009753545797358031
9,0.0009456680951706624,0.0009085145776454079,0.001196777961092639,0.0010448034935773656,0.001021530503528115,0.0010663362050309468
10,0.0009053776624461789,0.001060891007556137,0.0012338600424751643,0.0011576202699783425,0.0010532746694917894,0.0012604883473037814
11,0.0009388228666687521,0.0009619922566638389,0.001036644322059014,0.0011267624356945205,0.0010974491315344607,0.0011067873930681435
12,0.001056589300692468,0.0009318381146527566,0.0010787513703514773,0.0011572793928584638,0.0011662120023147825,0.0018479678043482042
13,0.0008858141814832828,0.0010072297898886405,0.0010008116914172298,0.0010111566809505692,0.0010747178689389644,0.001227994058122117
14,0.0009327170986442639,0.0009477795879767573,0.0010163004202884108,0.001119931248143147,0.0010920345655675305,0.001036410583790447
15,0.0009952487100165766,0.0009192515464422306,0.0010026165456077242,0.0011386584914658106,0.0011327903615906316,0.0010294133090805397
16,0.0009232603817785725,0.0008983379448754647,0.0010649706788845622,0.0010708055476208371,0.0010823215548926189,0.0010027298433267526
17,0.0009342475039361602,0.0009539430408139827,0.001055840751973007,0.0009921504879096446,0.0009548712710171368,0.0011735616630325298
18,0.0009850179909061591,0.0008755050317958981,0.0009684573280928505,0.0011650443449123596,0.001107607887163422,0.001249846115226199
19,0.0009797236446890002,0.000906197840785988,0.0010091220745124287,0.0010578862336641898,0.0011101240130678698,0.0010100705208091214
