OBJECT_ID,NO2_ShapEffect,Resp_Risk_ShapEffect,NPL_Prox_ShapEffect,Traffic_Prox_ShapEffect,Noise_Level_ShapEffect,SVI_Overall_ShapEffect
1,0.0008312701103613475,0.0009305898710327553,0.0009067267225111166,0.0009349564063419958,0.0009520159122957743,0.0010874534754638215
2,0.0008160001754225989,0.0008944844482036823,0.000933562860404501,0.0009930399930418543,0.0009555958686804933,0.0010792348383123194
3,0.0008233072711906415,0.0008725170349592169,0.0009221514664226675,0.0008516574178323757,0.0009717493334673764,0.0010803042915370619
4,0.0008434050921439834,0.0009287393805351349,0.0009419874790675947,0.0009940816990309698,0.0009696733319548935,0.000988935571516891
5,0.0008582625560279672,0.0009469198491029309,0.0009212617816904272,0.0009374522494699703,0.0009158478068616201,0.0012341766819005545
6,0.0008931197548073609,0.0009304491738700613,0.0009079494933988489,0.0009988782971019092,0.0010058360554764255,0.0010922323190204427
7,0.0009149150886561967,0.0010100671842560277,0.0009662779968570884,0.000999410175121341,0.0011216321258596263,0.0011081025205836512
8,0.0008895847515104913,0.0008612261531423713,0.0009291894684017752,0.0009975710070511264,0.0009475423244012911,0.0009550601557684516
9,0.0008848697195869152,0.0008551288991799584,0.0010693338450701111,0.0009448610617123477,0.0009103096656027235,0.0009640855635803592
10,0.0008479885699032487,0.0009289916812027265,0.001061407558518501,0.001061808496418719,0.0010133501699802218,0.001080113733388234
11,0.0008845049557180983,0.0008980919641556299,0.0009301131553630474,0.0010328385224613696,0.0009572877528864684,0.0010022273016864708
12,0.0010039220492634121,0.0009561558531125025,0.00098886188976411,0.000996916896284123,0.0010451505561772066,0.0019041219841316234
13,0.0008774896236698586,0.0009841762671990533,0.000978648348197254,0.0009056533042725853,0.0009778365603760064,0.0010816664873825922
14,0.0008453107524178875,0.0008835038097264581,0.0009371828096098292,0.0010619625771712711,0.0009657841085656816,0.001028371524706304
15,0.000977442549733112,0.000832653816320368,0.0009222665839756465,0.0010649783173123522,0.0010458876659839864,0.000989946021218642
16,0.0008607460332720291,0.0008575045387536201,0.0009551742263045001,0.0009740382999719414,0.0009824097585300763,0.0009728178629057752
17,0.000839531520670184,0.0008294654025539006,0.0009726847462661728,0.0008991727169342849,0.0008816170868339243,0.0010515746746780287
18,0.000948796323685681,0.0008843558289398702,0.000921858116959264,0.001087608990750257,0.001065936327452435,0.0010809674121204753
19,0.0009371546112642137,0.0008702395663035525,0.0009369090446232083,0.000974602488562577,0.0010228825507357317,0.000966085629057523
