Feature,Mean,Lower,Upper
0-20%,103.68561918399887,97.14372310748178,110.48092681630781
20%-40%,114.11997358551308,109.34716673651043,118.98651598823864
40%-60%,126.63642386702573,122.90898264589062,130.41310608826475
60%-80%,139.45418130168886,134.00504049233635,145.01341349706598
80%-100%,153.59706280656638,144.43685261567498,163.1097356287996
