OBJECT_ID,County_Name,Population,Town_Death,Death_Rate,Poisson,NB_BYM
1,Cape May,176,0,0,1.9309785682389218,0.44110893359618125
2,Cape May,1093,0,0,0.9613023706390897,0.4569396917743248
3,Cape May,3463,2,5.775339301183945e-4,4.3668077903159555,2.394575179504249
4,Cape May,3096,0,0,3.237715857276915,1.0964556890608865
5,Cape May,385,0,0,0.8760123991963918,0.44382236263588076
6,Cape May,3812,3,7.869884575026233e-4,4.851346621017621,2.9699775518102567
7,Cape May,21653,42,0.001939685032097169,15.320873575829896,37.67449935245977
8,Cape May,885,0,0,2.9165851062411066,0.9126472308730625
9,Cape May,1406,0,0,4.2916974873823746,1.0986827378663828
10,Cape May,18365,13,7.078682276068608e-4,13.139308731282895,12.349433258536987
11,Cape May,2147,0,0,4.326833490688398,1.1499652304231078
12,Cape May,2341,11,0.004698846646732166,3.87742125273073,8.959243384762663
13,Cape May,6204,11,0.0017730496453900709,5.06664365317667,8.643526209993423
14,Cape May,11132,3,2.6949335249730504e-4,17.610910833569744,4.707404461341036
15,Atlantic,869,0,0,2.8161929466846116,1.102812415222767
16,Cape May,11886,3,2.523977788995457e-4,6.105814845765608,3.338864009574032
17,Atlantic,537,0,0,0.2635075064985541,0.15230120867314878
18,Atlantic,10321,0,0,9.983628435711077,2.597477616497902
19,Atlantic,5997,2,3.3350008337502084e-4,12.17198982321388,3.757853793618667
20,Cumberland,4979,3,6.025306286402892e-4,2.5646527695024557,2.4928601856166464
21,Cumberland,1107,0,0,0.8863921525555862,0.46746417731545364
22,Atlantic,10095,3,2.9717682020802375e-4,12.590257258212766,4.62801779540853
23,Atlantic,6742,13,0.001928211213289825,6.980023306493003,11.603201175072202
24,Atlantic,8153,31,0.0038022813688212928,9.081839639085239,27.552723347477734
25,Cumberland,3123,2,6.404098623118795e-4,2.988355024151601,2.1548768717820015
26,Atlantic,37999,15,3.9474723019026814e-4,37.88212704877489,17.58048957648524
27,Cumberland,599,0,0,0.47632811817710835,0.23213672380548658
28,Atlantic,2755,1,3.629764065335753e-4,6.804729608014329,2.0752610701398395
29,Atlantic,1728,0,0,1.0907082358734614,0.5950370654881763
30,Cumberland,27721,39,0.0014068756538364417,23.417813666492325,36.44975740566503
31,Atlantic,8832,1,1.1322463768115942e-4,12.553180233697535,3.1077176057844103
32,Cumberland,24540,36,0.001466992665036675,39.384250599853914,37.49315417141174
33,Cumberland,399,0,0,0.2288338027186984,0.12339070574380114
34,Cumberland,3053,2,6.550933508024893e-4,4.728278002468345,2.566218397055282
35,Cumberland,4386,1,2.2799817601459188e-4,5.304011793119017,1.8960264579346908
36,Atlantic,4356,4,9.182736455463728e-4,3.3828506085494596,3.25715655913369
37,Atlantic,1121,0,0,1.1350170540131364,0.6218745261253606
38,Salem,1719,0,0,1.434366588085904,0.5940149875372464
39,Cumberland,7379,6,8.131183087139179e-4,6.35093693342884,5.332321313005332
40,Gloucester,1521,2,0.0013149243918474688,1.6174389723919993,1.6882396654234149
41,Cumberland,60034,57,9.494619715494553e-4,81.22692967248074,57.9832679435737
42,Salem,1052,0,0,0.9376168698753307,0.4276766620549847
43,Salem,2278,0,0,1.7179130700904095,0.7628960522661179
44,Ocean,1090,0,0,1.2639410027002604,0.5266056713015278
45,Salem,4781,1,2.0916126333403055e-4,4.490200954988837,2.0967419241318384
46,Atlantic,25973,8,3.08012166480576e-4,18.16710475377217,9.04799557245343
47,Atlantic,7295,1,1.3708019191226866e-4,5.238443009120618,1.9745755819169892
48,Salem,1436,0,0,1.1789461606646185,0.6508811510524659
49,Salem,3357,0,0,2.9686656084176724,1.0651753839264666
50,Ocean,3367,0,0,2.123039958975912,0.9781580150473166
51,Atlantic,1697,0,0,1.4141684261947634,0.6189946287779681
53,Gloucester,16440,7,4.2579075425790754e-4,11.206796797917752,7.153916568836255
54,Salem,3456,13,0.003761574074074074,4.031442048968975,9.898094324738077
55,Salem,3373,0,0,4.130612477584172,1.1775853674677699
57,Salem,1748,2,0.0011441647597254005,2.978199978329008,1.8117913005085944
58,Gloucester,8626,1,1.1592858798979828e-4,9.10108815181361,2.526422452627565
60,Salem,12571,3,2.3864449924429243e-4,12.741069538787485,4.28768510378369
61,Gloucester,4135,1,2.418379685610641e-4,4.882078307849287,1.9135559363207648
62,Ocean,475,0,0,1.3980678697861892,0.5155966824167922
63,Ocean,1583,0,0,1.3166147088286886,0.6208871612363526
64,Salem,4011,0,0,4.138686347955728,1.2318941090688396
65,Gloucester,36789,12,3.261844573106092e-4,31.565401246051643,13.28234557915721
66,Gloucester,3148,0,0,2.2093757747170564,0.9812531290851968
67,Gloucester,19826,7,3.5307172399878946e-4,18.801311835726374,8.207384842321188
68,Salem,4816,6,0.0012458471760797341,3.8092488147445804,5.441558303126493
69,Camden,1489,1,6.71591672263264e-4,3.0333106680678754,1.5378735904257659
70,Gloucester,8805,3,3.4071550255536625e-4,7.52542413434275,3.6688171087761963
72,Gloucester,2579,2,7.754943776657619e-4,2.119401733014491,2.297257225115001
73,Gloucester,12995,1,7.695267410542516e-5,7.095325050688969,2.4100137159091246
75,Burlington,1319,0,0,0.5471363803724416,0.26844240961055765
76,Ocean,21127,17,8.046575472144649e-4,24.589612117903194,16.925582952889997
77,Burlington,774,0,0,0.4979273211746339,0.28275617860520863
78,Ocean,27347,29,0.0010604453870625664,23.97754014676904,28.11144257684251
79,Camden,38829,35,9.013881377321074e-4,34.88284008987573,34.381245336070016
80,Salem,1760,1,5.681818181818182e-4,2.3748929344023,1.388334963844066
81,Camden,10702,4,3.7376191366099795e-4,9.15185709251015,4.624565917914491
82,Gloucester,12549,4,3.187504980476532e-4,9.617354434526977,5.103424796698798
84,Gloucester,14941,2,1.3385984873837093e-4,11.733241894069568,3.5710225866262353
85,Gloucester,2259,1,4.426737494466578e-4,1.7075918626960442,1.122690910500356
86,Gloucester,47833,40,8.362427612735977e-4,42.34176036545821,39.231218632794686
87,Camden,10442,3,2.873012832790653e-4,7.401757445554768,4.023698999717355
88,Camden,7539,11,0.001459079453508423,7.152486426293307,9.58947394129216
89,Camden,4918,5,0.0010166734444896298,4.662204583643053,4.803984044346152
90,Camden,1959,1,5.104645227156713e-4,1.4724074464487187,0.9880109412586763
91,Gloucester,10488,1,9.534706331045004e-5,8.285297619806146,2.5840130895666773
92,Ocean,22754,11,4.8343148457414084e-4,28.5297502872411,12.203228909434708
93,Gloucester,2986,1,3.348961821835231e-4,2.4353590077353418,1.3878428827326375
95,Camden,17320,11,6.351039260969977e-4,17.273520071585768,11.999908632648506
96,Camden,6971,2,2.8690288337397793e-4,5.605421230979095,2.75561258288805
97,Burlington,6396,1,1.5634771732332708e-4,3.9361963834535763,1.8003074351316328
98,Camden,988,1,0.0010121457489878543,0.7058699987644802,0.764827567219396
99,Gloucester,5924,1,1.6880486158001352e-4,3.672656044180505,1.831022394843545
100,Camden,2169,0,0,3.01895686039535,1.346250761271042
101,Camden,63705,58,9.104465897496271e-4,64.79018774862055,57.857140529073
102,Gloucester,4831,3,6.20989443179466e-4,4.128205433074819,2.7356125467506636
103,Gloucester,9861,12,0.001216915120170368,12.364659494235438,12.098956767263932
104,Camden,5448,1,1.8355359765051394e-4,4.758735488659275,2.0712572688155917
105,Gloucester,5904,4,6.775067750677507e-4,4.267065518002913,3.8469487833376785
