Feature,Mean,Lower,Upper
9.468760486143706,67.0507543052568,60.41930638642354,74.13290151256123
9.983130037748307,68.666623661873,62.09384109704428,75.66716144571141
10.497499589352909,70.32165998907571,63.814009578266386,77.23407779469797
11.01186914095751,72.01680210592758,65.58090948913835,78.83443775380059
11.52623869256211,73.75304544726214,67.39575240293473,80.46912531089502
12.040608244166712,75.5313941327899,69.25971643974046,82.13905261126047
12.554977795771313,77.35286177051074,71.17394612420878,83.84516286793652
13.069347347375913,79.21851554091619,73.13960805879195,85.58849280169684
13.583716898980516,81.1293969027136,75.15780424295701,87.37009539552562
14.098086450585118,83.08666749557197,77.22969754819404,89.19121063757419
14.612456002189719,85.0914183235949,79.35632349332948,91.0530702059187
15.126825553794319,87.14476885140158,81.53865577989946,92.95703171482282
15.641195105398921,89.24798469409762,83.7776999548027,94.90472258867477
16.155564657003524,91.40217491750074,86.07417468523333,96.89775158179856
16.669934208608122,93.60864867056509,88.42881192600626,98.9381246121959
17.184303760212725,95.86867840573169,90.8420795977658,101.02811644352333
17.698673311817323,98.18346134670762,93.31408891103514,103.17026422743223
18.213042863421926,100.55449222287274,95.844863944234,105.36735488810162
18.727412415026528,102.98305860783495,98.43377084424506,107.6227211209577
19.24178196663113,105.47040487391874,101.07955257785987,109.94023043690984
19.756151518235733,108.01827313332439,103.78071936050215,112.32528092162784
20.27052106984033,110.62798327498679,106.534526761283,114.78339732134882
20.78489062144493,113.30111991900971,109.3375121103253,117.32111220925657
21.299260173049532,116.03929218175276,112.18519734293574,119.94607428572716
21.813629724654135,118.84420659186452,115.0722165158107,122.66691380076679
22.327999276258737,121.71772886020862,117.99198532041618,125.49301312043725
22.84236882786334,124.66151383836777,120.93859100863439,128.43373161289543
23.356738379467938,127.67756575181716,123.9072851521738,131.49812191480711
23.871107931072537,130.76763731951968,126.89423155432961,134.6935889413993
24.38547748267714,133.93345320418047,129.89773170588708,138.02554110544392
24.89984703428174,137.17683133897222,132.91849572425588,141.4973384236642
25.414216585886344,140.49940757381515,135.95904486202713,145.11025804597472
25.928586137490946,143.90287640658602,139.0233205848487,148.86427702313094
26.442955689095548,147.38935023885375,142.1163670620429,152.7590469723438
26.957325240700143,150.96067740812208,145.24313342467053,156.7937050405161
27.471694792304746,154.6188074301555,148.40846385111814,160.9676266629506
27.986064343909348,158.3658967648321,151.6170124978361,165.28074507917978
28.50043389551395,162.20413645945223,154.872998519571,169.73347363087584
29.014803447118553,166.13584001701457,158.18028896140152,174.32681794428757
29.529172998723155,170.16315276715275,161.5421618028569,179.06204095233213
30.043542550327757,174.28855256733917,164.96183064084937,183.94114856536487
30.557912101932352,178.51439693937857,168.4420729888518,188.9663572992872
31.072281653536955,182.84323441358555,171.98556870775187,194.14038149329804
31.586651205141557,187.27758965324628,175.59474344991293,199.46616027455272
32.10102075674616,191.81999375176272,179.27183974547847,204.94684658071512
32.61539030835076,196.47315683677382,183.01909684618118,210.58715896444036
33.129759859955364,201.23961192124784,186.83845076394326,216.3903919119279
33.64412941155996,206.1224397683042,190.73222773740372,222.35996985639338
34.15849896316456,211.12445404342287,194.70239535011086,228.4999632197998
34.672868514769164,216.24844974292688,198.7508139002698,234.81453367624238
