Feature,Mean,Lower,Upper
9.468760486143706,41.955222069302735,14.649349394157833,90.76943920526372
9.983130037748307,43.254074188789076,15.184150944654647,93.36456496613714
10.497499589352909,44.5949209931168,15.753123563977462,95.97033904373401
11.01186914095751,45.9791644647143,16.34076286392831,98.59599471359485
11.52623869256211,47.40825633382072,16.947507805294087,101.29349449985891
12.040608244166712,48.88374112650446,17.573825827828525,103.88209759082193
12.554977795771313,50.40712386021927,18.222093477670672,106.55449150607794
13.069347347375913,51.98005342778559,18.866738172562034,109.55467927366938
13.583716898980516,53.60423363191887,19.530809253792988,112.69079871064865
14.098086450585118,55.281343980064975,20.22621398373039,115.9394574599853
14.612456002189719,57.01051690489516,20.96046635588902,119.22072993197179
15.126825553794319,58.78779966564794,21.70488957595066,122.54946102344215
15.641195105398921,60.626270623437954,22.481157982954564,126.00431989669363
16.155564657003524,62.533059606729495,23.277090684648265,129.62105274816616
16.669934208608122,64.50239472209162,24.081955350670572,133.43390336697422
17.184303760212725,66.53638834405442,24.909100479657706,137.25060556333682
17.698673311817323,68.63728156193451,25.758835986625645,141.37596345942615
18.213042863421926,70.80731720613454,26.63150872182543,145.7730584343056
18.727412415026528,73.0488763178795,27.527440093857983,150.29217692164957
19.24178196663113,75.36441294419696,28.440550759375775,154.97779639551976
19.756151518235733,77.75644976372531,29.386100289114594,159.83419918309934
20.27052106984033,80.22759465118088,30.36348202377595,164.87516814858873
20.78489062144493,82.78061552065083,31.359004506530276,170.10405573942987
21.299260173049532,85.41824717008024,32.380115535037035,175.52757049733924
21.813629724654135,88.14344875334046,33.427712883914296,181.2328746567334
22.327999276258737,90.95924027054366,34.50223689280385,187.29999871568435
22.84236882786334,93.86873062695113,35.60406274221636,193.60227124355646
23.356738379467938,96.86725058452723,36.733627321900215,200.14951655119245
23.871107931072537,99.96313725536659,37.87791075704625,206.94551211470485
24.38547748267714,103.16210195496998,39.04283785110614,213.87360182336514
24.89984703428174,106.46768845816634,40.23639505736702,221.07292331257355
25.414216585886344,109.88358762485034,41.45904605528796,228.5198612603649
25.928586137490946,113.41356108642346,42.7112762791405,236.18473972334917
26.442955689095548,117.06165937928706,43.99358642755897,244.05785985160276
26.957325240700143,120.83190036641528,45.30647284357863,252.23255251160182
27.471694792304746,124.72851811277778,46.650419844900455,260.7212314235006
27.986064343909348,128.75597829073723,48.02598397505886,269.59473289135656
28.50043389551395,132.91879732741242,49.43363515013188,278.76726778092416
29.014803447118553,137.22164461398995,50.873941252831926,288.3090117594645
29.529172998723155,141.66945603819426,52.37632028555005,298.18736022180406
30.043542550327757,146.26730833137748,53.89622192355415,308.59563596660394
30.557912101932352,151.02038505269815,55.44645853456289,319.6527100736979
31.072281653536955,155.93413637023986,56.96122256656985,331.165936878575
31.586651205141557,161.01419862851375,58.47908426946097,343.15453039765293
32.10102075674616,166.26638064846543,60.05409893859239,355.40748739217645
32.61539030835076,171.69683945861135,61.682951365083994,368.04807502170496
33.129759859955364,177.31164785439665,63.345961493150355,381.2364316465447
33.64412941155996,183.11743352457273,65.04370739418543,395.19318879241814
34.15849896316456,189.12088987627305,66.79105721545007,409.82652048749395
34.672868514769164,195.32896215616057,68.63589181552948,425.36016724712516
