Feature,Mean,Lower,Upper
-0.02589361122168654,96.90397705286114,90.71510313691283,103.36358387371
1.974402546320814,98.6652737894039,92.63602018793819,104.94336686520742
3.9746987038633144,100.45880757594038,94.5947802151769,106.55042877036054
5.974994861405808,102.28518806192943,96.59164365995112,108.18579378252049
7.975291018948305,104.14507692463931,98.62679845560056,109.85066706047537
9.975587176490805,106.03903033881427,100.7001759041963,111.54630427655566
11.975883334033306,107.96765375533073,102.81155883038274,113.27421379922606
13.9761794915758,109.93158333400508,104.96051124200893,115.03619123694378
15.9764756491183,111.93148513274942,107.14631480558374,116.83438116025437
17.9767718066608,113.9680477190653,109.36788526033286,118.67134686167331
19.977067964203297,116.04186524140957,111.62356496407315,120.55004280310735
21.977364121745794,118.15369266640438,113.9112636172903,122.47418351653462
23.977660279288294,120.30404976478414,116.22796834626493,124.4479345990514
25.977956436830794,122.49390970867644,118.57030667146837,126.47671920399186
27.978252594373288,124.7238454603648,120.93367907496,128.56636154865876
29.97854875191579,126.99460902486138,123.31286543563763,130.72362103858697
31.978844909458285,129.3071111602296,125.7022204095239,132.95594088369847
33.97914106700078,131.66210501667058,128.09579178919589,135.27069209598494
35.97943722454328,134.06066519173586,130.48841895149818,137.6750601748786
37.979733382085776,136.50353045961361,132.87582471899617,140.17468679026396
39.980029539628276,138.99169397986057,135.25581539915922,142.7737132590523
41.98032569717078,141.52596528996628,137.62813400020735,145.47408772755705
43.98062185471328,144.10715656507082,139.9944933295797,148.27590503158459
45.98091801225577,146.7360561075107,142.35805534661847,151.17783663068963
47.98121416979828,149.41357333312115,144.72294774948546,154.17785917075096
49.98151032734077,152.1403749495222,147.0933528607482,157.27340020799883
51.98180648488327,154.91735933301783,149.47356398542135,160.4622138896771
53.98210264242576,157.74541897292906,151.8675290636051,163.7423572517092
55.98239879996826,160.62559053408768,154.27889533514195,167.1124520393021
57.98269495751076,163.5587506576869,156.71069765321147,170.57139480977241
59.98299111505326,166.545794721507,159.16556462563585,174.11851492924964
61.98328727259576,169.5877000181609,161.64582508840124,177.75360249401913
63.98358343013825,172.685643366668,164.15367873500614,181.4769750572111
65.98387958768075,175.84060253898073,166.69086292188723,185.28901798789482
67.98417574522325,179.0536454907356,169.25897690173588,189.19043884804134
69.98447190276576,182.32580501596718,171.8593996827935,193.18210123576546
71.98476806030826,185.65814642741364,174.49338860505736,197.26506190645685
73.98506421785075,189.05190735506474,177.16223059612548,201.44070041372848
75.98536037539324,192.5081744652745,179.86697008955173,205.71034299781795
77.98565653293574,196.02815394972043,182.60866963176196,210.07554521909805
79.98595269047824,199.6129630185828,185.38823098420625,214.53785260596004
81.98624884802074,203.26384740566968,188.20661348568,219.09901858278843
83.98654500556324,206.98199717517838,191.0646669405948,223.76080183459814
85.98684116310574,210.76871355479332,193.96329429757665,228.52513961660173
87.98713732064823,214.62536934830388,196.90342297907569,233.394096362463
89.98743347819072,218.55302270737442,199.88564888676515,238.3694450472599
91.98772963573325,222.55313760009528,202.91091312467873,243.45343529343327
93.98802579327574,226.62702116748866,205.97996937050138,248.64820051115848
95.98832195081823,230.77618611543224,209.09374408689743,253.9561202382871
97.98861810836073,235.00185455747686,212.2528579767045,259.379308299031
