Over65_Pct,Minority_Pct,BelowHS_Pct,Med_Gross_Rent,PD,Job_Pct_HRisk,PM25,Ozone,CrowdHouse_Pct,Unemployed_Pct,Town_Death,Population,Centroid_X,Centroid_Y,County_Name,Region_Name,OBJECT_ID,NO2,Resp_Risk,NPL_Prox,Traffic_Prox,Noise_Level,SVI_Overall
17.882971729125575,14.72715318869165,10.640216411181244,1563,873.2446850967834,29.585798816568047,8.01749178082,42.570536601300006,8.152531229454311,5.10688836104513,2,1521,346886.76219184394,259236.98683677986,Gloucester,Delaware River Region,40,17.33076915290587,0.33824254352614513,1.5035922696717032,50.59103193342289,45.26758077,0.3442000000000001
16.687210580670953,56.82613185861345,21.784044638817676,1057,870.2642948796608,19.432321684378852,7.919016829713988,42.41291554625077,19.052536895759076,7.153889356922213,57,60034,350271.0730948912,233456.6299330294,Cumberland,Southern Shore Region,41,17.030961134687725,0.33916882018833255,1.0202194626165857,162.90737898988675,45.66374798,0.805278833660925
17.329750096969025,34.939325095583754,8.243117220127317,1240,324.4364419413288,26.638776527954782,7.316629643239062,42.78384656616646,20.64886130658836,6.842473279392668,36,36094,503447.8727199596,237814.45241815597,Atlantic,Southern Shore Region,554,19.65324761844485,0.3265425505374517,0.3588782148341703,162.5772693634678,46.84112789,0.5132928616275874
23.288973384030417,18.726235741444867,7.5933075933075935,1201,79.99229602686495,27.376425855513308,8.0776939726,43.9015830065,9.9809885931559,9.523809523809524,0,1052,210717.52458076534,257365.50813224167,Salem,Delaware River Region,42,15.919994233025013,0.32934648699838803,0.07895636420910002,2.36436966948,45.0168762,0.5213
19.183494293239683,22.695346795434592,9.57510472770796,1151,93.91338907096514,24.231782265144865,8.042577534249999,43.58317320260001,6.014047410008786,7.047279214986619,0,2278,244672.78102632088,252948.276153069,Salem,Delaware River Region,43,15.18500364036883,0.32133670348985505,0.046542712775591306,45.964623937326,45.20546243,0.5514000000000001
33.85321100917431,3.5779816513761467,0.6403415154749199,1313,467.4742504685524,19.541284403669724,6.982780876710006,43.457963398700045,6.88073394495413,7.558139534883721,0,1090,564607.5215171513,267023.1968220733,Ocean,Shore Region,44,20.164891416092114,0.2744658506051591,0.03733317286866526,128.2662700024294,45.34942151,0.4210000000000005
15.519765739385067,76.44844174858817,17.522245037645447,869,1737.2002889421938,24.95293871574984,8.151540623526653,43.761158938880875,19.221920100397412,14.628149969268593,1,4781,218721.3482363473,269601.6449132003,Salem,Delaware River Region,45,16.272048609046216,0.33244921692004026,0.06714049070308539,270.6244370089052,45.566716220000004,0.9075278811964025
13.43318061063412,43.80318022561891,8.15832441867012,1439,230.0040682734411,27.05501867323759,7.544249881083804,42.41226904493487,12.840257190159008,10.217149220489977,8,25973,421081.66341328924,243956.2998785302,Atlantic,Southern Shore Region,46,19.107032569933978,0.3376021750389537,0.4886419604172945,253.51708547023216,46.8346353,0.6681132984252879
18.875942426319398,27.511994516792324,17.824300528272353,1230,175.46641656308108,18.99931459904044,7.796948219179992,42.353981045799955,10.54146675805346,14.882226980728051,1,7295,379694.0466465426,247026.90840265527,Atlantic,Southern Shore Region,47,16.61904123447845,0.37383517124714294,0.313464251095965,26.511605026578252,45.20353696,0.7565999999999992
14.275766016713092,8.635097493036211,4.564315352697095,1296,1581.6318633936025,27.36768802228412,8.161150958899999,42.997549019599994,12.883008356545957,4.135338345864661,0,1436,302412.29167094064,277748.12123832107,Salem,Delaware River Region,48,15.241617294668046,0.32401682767706896,0.0788170945892922,183.47967129712762,45.61841944,0.5133
17.57521596663688,12.094131665177242,8.081264108352144,1325,98.99541922107048,20.4051236222818,8.115941117450001,43.351971530186525,16.502829907655638,4.41340782122905,0,3357,264253.05484591593,261511.0260879062,Salem,Delaware River Region,49,14.667181525684859,0.3258114904429793,0.04683348085875289,0.3268174543853547,45.08095473,0.49397119307060244
19.305019305019304,7.425007425007425,4.890604890604891,1314,913.9391513264148,23.96792396792397,7.103353150679998,42.9825143791,3.4749034749034706,5.993150684931507,0,3367,540000.4268188481,277896.64079036564,Ocean,Shore Region,50,20.34753225687811,0.29595276912857393,0.04728234010500185,205.90014398255266,45.26610043,0.4811999999999999
19.033588685916325,13.847967000589275,8.13758389261745,1256,199.42888428804804,22.15674720094284,7.8166172602699975,42.5560457516,11.1962286387743,7.046979865771812,0,1697,394221.23243672017,278090.58544840664,Atlantic,Southern Shore Region,51,18.485226806389583,0.41571867260425904,0.2548188693108397,174.57322001218975,45.51338573,0.4826999999999998
41.84938036224976,2.669208770257388,2.0856201975850714,1131,1070.1885988298848,20.781696854146805,6.928916712330001,43.35013921570002,4.385128693994275,3.6511156186612577,NA,1049,581719.0262450041,296086.228918992,Ocean,Shore Region,52,21.212004299461412,0.26872620748819914,0.03342788619210155,493.1657549945664,45.9317884,0.06269999999999999
13.503649635036496,14.732360097323602,11.304421624374099,1271,291.60073789321723,22.82846715328467,8.105236672685335,42.79584428672605,12.347931873479325,6.827486997897532,7,16440,347971.81550266646,276397.8283352405,Gloucester,Delaware River Region,53,16.707805478031947,0.3479967592807383,0.3654583949445526,137.50875229489816,45.36405507,0.49011548053528003
15.79861111111111,17.505787037037038,4.303563165201296,984,2138.4628810677036,24.76851851851852,8.35879643836,43.4149666667,27.37268518518519,2.8713418001104363,13,3456,259658.15220093713,297256.91752249,Salem,Delaware River Region,54,16.063485184210084,0.34957906002817307,0.08088404361892491,323.51873092892595,45.73417966,0.6167000000000002
